trade_number,fill_time_utc,signal_time_utc,reason,label,qty
162,2025-08-04T00:00:00,2025-08-03T00:00:00,TRADINGVIEW_RELATIVE_LOW,相对低点买入,1000
163,2025-08-23T00:00:00,2025-08-22T00:00:00,TRADINGVIEW_RELATIVE_LOW,相对低点买入,1000
164,2025-08-25T00:00:00,2025-08-24T00:00:00,TRADINGVIEW_RELATIVE_LOW,相对低点买入,1000
165,2025-08-27T00:00:00,2025-08-26T00:00:00,TRADINGVIEW_RELATIVE_LOW,相对低点买入,1000
166,2025-08-31T00:00:00,2025-08-30T00:00:00,TRADINGVIEW_RELATIVE_LOW,相对低点买入,1000
167,2025-09-02T00:00:00,2025-09-01T00:00:00,TRADINGVIEW_RELATIVE_LOW,相对低点买入,1000
168,2025-09-27T00:00:00,2025-09-26T00:00:00,TRADINGVIEW_RELATIVE_LOW,相对低点买入,1000
169,2025-10-11T00:00:00,2025-10-10T00:00:00,TRADINGVIEW_RELATIVE_LOW,相对低点买入,1000
170,2025-10-11T00:00:00,2025-10-10T00:00:00,TRADINGVIEW_POTENTIAL_LOW,潜在低点买入,2000
171,2025-11-14T00:00:00,2025-11-13T00:00:00,TRADINGVIEW_RELATIVE_LOW,相对低点买入,1000
172,2025-11-14T00:00:00,2025-11-13T00:00:00,TRADINGVIEW_POTENTIAL_LOW,潜在低点买入,2000
173,2025-11-17T00:00:00,2025-11-16T00:00:00,TRADINGVIEW_RELATIVE_LOW,相对低点买入,1000
174,2025-11-17T00:00:00,2025-11-16T00:00:00,TRADINGVIEW_POTENTIAL_LOW,潜在低点买入,2000
175,2025-11-19T00:00:00,2025-11-18T00:00:00,TRADINGVIEW_RELATIVE_LOW,相对低点买入,1000
176,2025-11-19T00:00:00,2025-11-18T00:00:00,TRADINGVIEW_POTENTIAL_LOW,潜在低点买入,2000
177,2025-11-20T00:00:00,2025-11-19T00:00:00,TRADINGVIEW_RELATIVE_LOW,相对低点买入,1000
178,2025-11-20T00:00:00,2025-11-19T00:00:00,TRADINGVIEW_POTENTIAL_LOW,潜在低点买入,2000
179,2026-01-22T00:00:00,2026-01-21T00:00:00,TRADINGVIEW_RELATIVE_LOW,相对低点买入,1000
180,2026-01-30T00:00:00,2026-01-29T00:00:00,TRADINGVIEW_POTENTIAL_LOW,潜在低点买入,2000
181,2026-01-31T00:00:00,2026-01-30T00:00:00,TRADINGVIEW_RELATIVE_LOW,相对低点买入,1000
182,2026-01-31T00:00:00,2026-01-30T00:00:00,TRADINGVIEW_POTENTIAL_LOW,潜在低点买入,2000
183,2026-02-02T00:00:00,2026-02-01T00:00:00,TRADINGVIEW_RELATIVE_LOW,相对低点买入,1000
184,2026-02-02T00:00:00,2026-02-01T00:00:00,TRADINGVIEW_POTENTIAL_LOW,潜在低点买入,2000
185,2026-02-03T00:00:00,2026-02-02T00:00:00,TRADINGVIEW_RELATIVE_LOW,相对低点买入,1000
186,2026-02-03T00:00:00,2026-02-02T00:00:00,TRADINGVIEW_POTENTIAL_LOW,潜在低点买入,2000
187,2026-02-04T00:00:00,2026-02-03T00:00:00,TRADINGVIEW_RELATIVE_LOW,相对低点买入,1000
188,2026-02-04T00:00:00,2026-02-03T00:00:00,TRADINGVIEW_POTENTIAL_LOW,潜在低点买入,2000
189,2026-02-05T00:00:00,2026-02-04T00:00:00,TRADINGVIEW_RELATIVE_LOW,相对低点买入,1000
190,2026-02-05T00:00:00,2026-02-04T00:00:00,TRADINGVIEW_POTENTIAL_LOW,潜在低点买入,2000
191,2026-02-07T00:00:00,2026-02-06T00:00:00,TRADINGVIEW_RELATIVE_LOW,相对低点买入,1000
192,2026-02-07T00:00:00,2026-02-06T00:00:00,TRADINGVIEW_POTENTIAL_LOW,潜在低点买入,2000
193,2026-03-28T00:00:00,2026-03-27T00:00:00,TRADINGVIEW_RELATIVE_LOW,相对低点买入,1000
194,2026-03-30T00:00:00,2026-03-29T00:00:00,TRADINGVIEW_RELATIVE_LOW,相对低点买入,1000
195,2026-05-24T00:00:00,2026-05-23T00:00:00,TRADINGVIEW_RELATIVE_LOW,相对低点买入,1000
196,2026-05-28T00:00:00,2026-05-27T00:00:00,TRADINGVIEW_RELATIVE_LOW,相对低点买入,1000
197,2026-05-30T00:00:00,2026-05-29T00:00:00,TRADINGVIEW_RELATIVE_LOW,相对低点买入,1000
198,2026-06-25T00:00:00,2026-06-24T00:00:00,TRADINGVIEW_RELATIVE_LOW,相对低点买入,1000
199,2026-06-25T00:00:00,2026-06-24T00:00:00,TRADINGVIEW_POTENTIAL_LOW,潜在低点买入,2000
200,2026-06-26T00:00:00,2026-06-25T00:00:00,TRADINGVIEW_RELATIVE_LOW,相对低点买入,1000
201,2026-06-26T00:00:00,2026-06-25T00:00:00,TRADINGVIEW_POTENTIAL_LOW,潜在低点买入,2000
202,2026-07-02T00:00:00,2026-07-01T00:00:00,TRADINGVIEW_RELATIVE_LOW,相对低点买入,1000
203,2026-07-02T00:00:00,2026-07-01T00:00:00,TRADINGVIEW_POTENTIAL_LOW,潜在低点买入,2000
