DATE,SKEW
2018-01-02,135.370000
2018-01-03,133.430000
2018-01-04,131.240000
2018-01-05,127.030000
2018-01-08,128.000000
2018-01-09,126.370000
2018-01-10,129.120000
2018-01-11,126.100000
2018-01-12,124.950000
2018-01-16,128.650000
2018-01-17,136.190000
2018-01-18,131.410000
2018-01-19,132.280000
2018-01-22,127.180000
2018-01-23,122.950000
2018-01-24,120.200000
2018-01-25,121.870000
2018-01-26,117.990000
2018-01-29,118.800000
2018-01-30,122.850000
2018-01-31,121.230000
2018-02-01,120.590000
2018-02-02,126.450000
2018-02-05,117.330000
2018-02-06,129.610000
2018-02-07,136.900000
2018-02-08,130.920000
2018-02-09,128.510000
2018-02-12,148.020000
2018-02-13,143.070000
2018-02-14,127.840000
2018-02-15,131.670000
2018-02-16,137.800000
2018-02-20,131.630000
2018-02-21,130.030000
2018-02-22,134.310000
2018-02-23,139.200000
2018-02-26,131.720000
2018-02-27,132.270000
2018-02-28,138.950000
2018-03-01,136.540000
2018-03-02,127.480000
2018-03-05,130.120000
2018-03-06,128.410000
2018-03-07,128.170000
2018-03-08,129.620000
2018-03-09,127.790000
2018-03-12,141.980000
2018-03-13,140.430000
2018-03-14,141.660000
2018-03-15,146.550000
2018-03-16,147.350000
2018-03-19,143.960000
2018-03-20,139.520000
2018-03-21,133.690000
2018-03-22,131.520000
2018-03-23,130.790000
2018-03-26,128.960000
2018-03-27,128.650000
2018-03-28,128.330000
2018-03-29,119.340000
2018-04-02,119.680000
2018-04-03,118.380000
2018-04-04,119.230000
2018-04-05,121.510000
2018-04-06,122.390000
2018-04-09,119.900000
2018-04-10,121.250000
2018-04-11,122.270000
2018-04-12,122.290000
2018-04-13,126.000000
2018-04-16,131.470000
2018-04-17,130.570000
2018-04-18,146.260000
2018-04-19,138.200000
2018-04-20,133.070000
2018-04-23,126.480000
2018-04-24,126.500000
2018-04-25,124.290000
2018-04-26,127.080000
2018-04-27,128.400000
2018-04-30,130.770000
2018-05-01,128.210000
2018-05-02,122.420000
2018-05-03,126.790000
2018-05-04,127.370000
2018-05-07,123.040000
2018-05-08,125.100000
2018-05-09,126.050000
2018-05-10,129.350000
2018-05-11,131.590000
2018-05-14,133.970000
2018-05-15,136.760000
2018-05-16,134.450000
2018-05-17,134.780000
2018-05-18,133.320000
2018-05-21,134.020000
2018-05-22,134.610000
2018-05-23,135.610000
2018-05-24,139.240000
2018-05-25,140.780000
2018-05-29,141.840000
2018-05-30,143.890000
2018-05-31,140.070000
2018-06-01,134.530000
2018-06-04,132.700000
2018-06-05,132.580000
2018-06-06,136.570000
2018-06-07,133.840000
2018-06-08,133.110000
2018-06-11,138.930000
2018-06-12,142.820000
2018-06-13,141.740000
2018-06-14,142.390000
2018-06-15,140.920000
2018-06-18,140.920000
2018-06-19,139.350000
2018-06-20,140.820000
2018-06-21,139.940000
2018-06-22,140.540000
2018-06-25,134.660000
2018-06-26,134.920000
2018-06-27,131.300000
2018-06-28,136.340000
2018-06-29,141.720000
2018-07-02,140.890000
2018-07-03,134.570000
2018-07-05,139.860000
2018-07-06,141.020000
2018-07-09,138.960000
2018-07-10,139.260000
2018-07-11,136.850000
2018-07-12,138.220000
2018-07-13,142.480000
2018-07-16,148.160000
2018-07-17,149.580000
2018-07-18,154.250000
2018-07-19,150.980000
2018-07-20,152.720000
2018-07-23,153.780000
2018-07-24,145.940000
2018-07-25,145.090000
2018-07-26,142.180000
2018-07-27,144.570000
2018-07-30,141.570000
2018-07-31,144.490000
2018-08-01,142.770000
2018-08-02,143.830000
2018-08-03,146.190000
2018-08-06,142.010000
2018-08-07,138.940000
2018-08-08,139.840000
2018-08-09,138.610000
2018-08-10,149.200000
2018-08-13,159.030000
2018-08-14,152.410000
2018-08-15,148.400000
2018-08-16,148.450000
2018-08-17,146.010000
2018-08-20,145.550000
2018-08-21,144.700000
2018-08-22,143.750000
2018-08-23,147.380000
2018-08-24,148.200000
2018-08-27,144.850000
2018-08-28,140.880000
2018-08-29,140.760000
2018-08-30,141.820000
2018-08-31,146.910000
2018-09-04,142.180000
2018-09-05,142.220000
2018-09-06,140.560000
2018-09-07,145.870000
2018-09-10,144.880000
2018-09-11,147.880000
2018-09-12,148.750000
2018-09-13,150.640000
2018-09-14,151.590000
2018-09-17,150.950000
2018-09-18,151.370000
2018-09-19,145.190000
2018-09-20,144.840000
2018-09-21,141.550000
2018-09-24,138.840000
2018-09-25,137.680000
2018-09-26,140.980000
2018-09-27,142.100000
2018-09-28,144.430000
2018-10-01,141.520000
2018-10-02,137.980000
2018-10-03,136.330000
2018-10-04,136.730000
2018-10-05,130.280000
2018-10-08,129.640000
2018-10-09,128.980000
2018-10-10,127.650000
2018-10-11,130.850000
2018-10-12,125.510000
2018-10-15,128.320000
2018-10-16,132.150000
2018-10-17,130.650000
2018-10-18,125.960000
2018-10-19,124.940000
2018-10-22,125.680000
2018-10-23,126.540000
2018-10-24,128.910000
2018-10-25,125.260000
2018-10-26,121.700000
2018-10-29,120.830000
2018-10-30,118.110000
2018-10-31,117.640000
2018-11-01,118.280000
2018-11-02,115.730000
2018-11-05,118.890000
2018-11-06,119.930000
2018-11-07,120.560000
2018-11-08,121.850000
2018-11-09,120.060000
2018-11-12,121.350000
2018-11-13,122.060000
2018-11-14,120.680000
2018-11-15,120.760000
2018-11-16,118.710000
2018-11-19,115.790000
2018-11-20,119.550000
2018-11-21,119.310000
2018-11-23,117.210000
2018-11-26,117.570000
2018-11-27,115.830000
2018-11-28,115.960000
2018-11-29,115.490000
2018-11-30,114.710000
2018-12-04,117.760000
2018-12-06,116.680000
2018-12-07,114.300000
2018-12-10,117.640000
2018-12-11,116.800000
2018-12-12,116.780000
2018-12-13,117.030000
2018-12-14,118.600000
2018-12-17,123.960000
2018-12-18,124.230000
2018-12-19,125.380000
2018-12-20,124.070000
2018-12-21,122.170000
2018-12-24,118.270000
2018-12-26,116.470000
2018-12-27,115.180000
2018-12-28,117.260000
2018-12-31,117.800000
2019-01-02,116.060000
2019-01-03,112.220000
2019-01-04,111.440000
2019-01-07,113.560000
2019-01-08,115.300000
2019-01-09,117.010000
2019-01-10,117.720000
2019-01-11,119.090000
2019-01-14,125.200000
2019-01-15,126.870000
2019-01-16,131.660000
2019-01-17,133.020000
2019-01-18,131.190000
2019-01-22,122.820000
2019-01-23,123.880000
2019-01-24,130.920000
2019-01-25,126.110000
2019-01-28,123.060000
2019-01-29,121.900000
2019-01-30,123.280000
2019-01-31,126.530000
2019-02-01,126.030000
2019-02-04,128.400000
2019-02-05,123.420000
2019-02-06,123.720000
2019-02-07,124.450000
2019-02-08,127.720000
2019-02-11,129.190000
2019-02-12,128.600000
2019-02-13,127.120000
2019-02-14,126.890000
2019-02-15,129.550000
2019-02-19,124.680000
2019-02-20,123.390000
2019-02-21,122.420000
2019-02-22,121.080000
2019-02-25,127.670000
2019-02-26,125.530000
2019-02-27,126.440000
2019-02-28,128.850000
2019-03-01,126.970000
2019-03-04,125.040000
2019-03-05,126.400000
2019-03-06,125.800000
2019-03-07,123.140000
2019-03-08,125.730000
2019-03-11,132.930000
2019-03-12,130.170000
2019-03-13,132.570000
2019-03-14,130.570000
2019-03-15,128.760000
2019-03-18,127.100000
2019-03-19,123.130000
2019-03-20,120.590000
2019-03-21,120.670000
2019-03-22,117.550000
2019-03-25,117.600000
2019-03-26,117.800000
2019-03-27,117.660000
2019-03-28,119.250000
2019-03-29,120.960000
2019-04-01,126.770000
2019-04-02,127.310000
2019-04-03,125.960000
2019-04-04,126.230000
2019-04-05,128.750000
2019-04-08,129.130000
2019-04-09,127.660000
2019-04-10,127.610000
2019-04-11,126.230000
2019-04-12,124.220000
2019-04-15,127.690000
2019-04-16,125.810000
2019-04-17,125.780000
2019-04-18,123.600000
2019-04-22,124.240000
2019-04-23,124.650000
2019-04-24,123.810000
2019-04-25,124.180000
2019-04-26,126.290000
2019-04-29,125.790000
2019-04-30,126.470000
2019-05-01,125.320000
2019-05-02,124.590000
2019-05-03,122.220000
2019-05-06,123.230000
2019-05-07,116.880000
2019-05-08,117.790000
2019-05-09,117.680000
2019-05-10,118.540000
2019-05-13,119.360000
2019-05-14,119.950000
2019-05-15,120.870000
2019-05-16,121.090000
2019-05-17,118.690000
2019-05-20,115.250000
2019-05-21,117.170000
2019-05-22,115.420000
2019-05-23,114.710000
2019-05-24,114.120000
2019-05-28,112.580000
2019-05-29,111.930000
2019-05-30,112.680000
2019-05-31,112.650000
2019-06-03,112.320000
2019-06-04,112.740000
2019-06-05,112.910000
2019-06-06,113.890000
2019-06-07,114.670000
2019-06-10,114.380000
2019-06-11,113.810000
2019-06-12,114.660000
2019-06-13,113.330000
2019-06-14,113.160000
2019-06-17,115.300000
2019-06-18,116.210000
2019-06-19,115.930000
2019-06-20,119.230000
2019-06-21,118.460000
2019-06-24,117.090000
2019-06-25,116.830000
2019-06-26,117.160000
